kode;diskripsi;lokasi;merk;warna;dept;satuan;jmlawal;jmlbeli;jmljual;reorder;hpp;hrgjual1;hrgjual2;hrgjual3;jmlrbeli;jmlrjual;jmldvplus;jmldvmin;noninv;untung;ppn;lsttgl;lstven;lsttgldev;lsttglbl;lsttgljl;boxrol;koderelasi;prosen;batassup;hrgjual4;untung2;untung3;cekpakai;batas1;batas2;barcode;tglrevisi;catrevisi
EUKA-PSB7;EUKA PUPPY SMALL BREED 7,5 KG;;;;11;SAK;0;0;0;1;254119.01;470000;455000;600000;0;0;0;0;FALSE;84.95;0;05-Jun-15;  -   -;  -   -;01-Nov-11;  -   -;0;EUKA-PSB1;0;0;0;79.05;136.11;0;0;0;EUKA-PSB7;03-Feb-16 06:56:29;0
EUKA-PSB15;EUKA PUPPY SMALL BREED 15 KG;;;;11;SAK;0;0;0;1;698642.85;850000;830000;1115000;0;0;0;0;FALSE;21.66;0;29-Jul-15;  -   -;  -   -;13-Jan-11;  -   -;0;EUKA-PSB1;0;0;0;18.8;59.6;0;0;0;EUKA-PSB15;03-Feb-16 06:56:29;0
EUKA-PLB9;EUKA PUPPY LARGE BREED 9 KG;;;;11;SAK;0;0;0;1;232234.4;520000;510000;620000;0;0;0;1;FALSE;123.91;0;29-Jul-15;  -   -;  -   -;09-Jul-11;  -   -;0;EUKA-PLB1;0;0;0;119.61;166.97;0;0;0;EUKA-PLB9;03-Feb-16 06:56:29;0
EUKA-PLB15;EUKA PUPPY LARGE BREED 15 KG;;;;11;SAK;0;0;9;1;549065.39;835000;820000;929000;0;0;3;0;FALSE;52.08;0;08-Oct-16;  -   -;  -   -;01-Feb-12;  -   -;0;EUKA-PLB1;0;0;0;49.34;69.2;0;0;0;EUKA-PLB15;03-Feb-16 06:56:29;0
EUKA-ALB15;EUKA ADLT DOG LARGE BREED 15 KG;;;;11;SAK;0;0;13;1;507400;600000;580000;865000;0;0;0;1;FALSE;18.25;0;22-Dec-16;  -   -;  -   -;01-Feb-12;  -   -;0;EUKA-ADL1;0;0;0;14.31;70.48;0;0;0;EUKA-ALB15;03-Feb-16 06:56:29;0
IAMS-K10;IAMS KITTEN CHICKEN 10 KG;;;;11;SAK;0;0;0;1;184219.15;650000;630000;780000;0;0;0;1;FALSE;252.84;0;07-Sep-15;  -   -;  -   -;09-Jul-11;  -   -;0;IAMS-K1;0;0;0;241.98;323.41;0;0;0;IAMS-K10;03-Feb-16 06:56:29;0
IAMS-AC9;IAMS ADLT CAT 9 KG;;;;11;SAK;0;0;0;1;412500;465000;455000;440000;0;0;0;0;FALSE;12.73;0;  -   -;  -   -;  -   -;  -   -;  -   -;0;IAMS-AC1;0;0;0;10.3;6.67;0;0;0;IAMS-AC9;03-Feb-16 06:56:29;0
IAMS-AC15;IAMS ADLT CAT CHICKEN 15 KG;;;;11;SAK;0;0;3;1;372867.5;900000;880000;1050000;0;0;0;0;FALSE;141.37;0;17-Oct-16;  -   -;  -   -;  -   -;  -   -;0;IAMS-AC1;0;0;0;136.01;181.6;0;0;0;IAMS-AC15;03-Feb-16 06:56:29;0
PRIME-P9;PRIME CHOICE PUPPY 9 KG;;;;24;SAK;0;17;0;1;195037.6471;280000;270000;307000;0;0;0;0;FALSE;60.08;0;19-Mar-15;  -   -;  -   -;18-Aug-11;  -   -;0;PRIME-P1;0;0;0;54.37;75.52;0;0;0;PRIME-P9;03-Feb-16 06:56:29;0
PRIME-ACOF8;PRIME CHOICE ADLT CAT OF 8 KG;;;;24;SAK;0;0;0;1;199125;280000;270000;236000;0;0;0;0;FALSE;40.62;0;  -   -;  -   -;  -   -;  -   -;  -   -;0;PRIME-AC1;0;0;0;35.59;18.52;0;0;0;PRIME-ACOF8;03-Feb-16 06:56:29;0
